156 t 0 156 t 0 156 t 0 156 t 0 156 t 0 156 t 0 156 t 0 156 t 0 156 t 0 156 t 0 156 t 0 156 t 0 156 t 0 156 t 0 156 t 0 156 t 0
0 t 0 156 T 10 156 t 0 156 t 0 156 0 T 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0
156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0
156 t 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0
156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0
156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0
156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0
156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0
156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0
156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0
156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0
156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0
156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0
156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0
156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0
156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0 156 0 0
